formatName,Type,use,schema:encodingFormat,,mediaType,extension,source,AltIdentifierString,Notes,ECRRID-Original,formatId-DataOne,formatType,ECRR Format registry id
CfRadial-1,DATA,,,TRUE,,,https://www.eol.ucar.edu/content/standard-data-formats,,"https://www.eol.ucar.edu/system/files/CfRadialDoc.v1.4.20160801.pdf      NCAR/EOL/UNIDATA, weather radar data",,,,
CfRadial-2,DATA,,,TRUE,,,https://www.eol.ucar.edu/content/standard-data-formats,,https://www.eol.ucar.edu/system/files/CfRadialDoc-v2.0-20180430.pdf    NCAR/EOL/UNIDATA. Weather radar data,,,,
Chinese FY-2 satellite image data format,DATA,application/octet-stream;type=AWX,application/octet-stream;type=AWX,TRUE,application/octet-stream,,ECRR,,"FYSAT: Chinese FY-2 satellite image data in AWX format, http://satellite.cma.gov.cn/",application/octet-stream;type=AWX,,DATA,
CINRAD Level II data foramt,DATA,application/octet-stream;type=CINRAD,application/octet-stream;type=CINRAD,TRUE,application/octet-stream,,,,"CINRAD: Chinese Level-II Base Data, http://www.cinrad.com/",application/octet-stream;type=CINRAD,,DATA,
CMIP,DATA,,,TRUE,,,ECRR,,,,,DATA,
"CodeMeta, version 1.0",DATA,application/ld+json;type=codemeta1.0,https://doi.org/10.5063/schema/codemeta-1.0,FALSE,application/ld+json,json,DataOne,https://doi.org/10.5063/schema/codemeta-1.0,,,https://doi.org/10.5063/schema/codemeta-1.0,DATA,
"CodeMeta, version 2.0",DATA,application/ld+json;type=codemeta2.0,https://doi.org/10.5063/schema/codemeta-2.0,FALSE,application/ld+json,json,DataOne,https://doi.org/10.5063/schema/codemeta-2.0,,,https://doi.org/10.5063/schema/codemeta-2.0,DATA,
Comma Separated Values Text,DATA,text/csv,text/csv,TRUE,text/csv,csv,DataOne; IANA,,iana registered,text/csv,text/csv,DATA,
comprehensive air quality model file format,DATA,application/octet-stream;type=UAMIV-CAMx,application/octet-stream;type=UAMIV-CAMx,TRUE,application/octet-stream,,ECRR,CAMx UAM-IV,"UAMIV: CAMx UAM-IV formatted files, http://www.camx.com/",application/octet-stream;type=UAMIV-CAMx,,DATA,
Corelyzer archive file,Wrapper,application/zip;type=corelyzerarchive,application/zip;type=corelyzerarchive,TRUE,application/zip,zip,ECRR,https://opencoredata.org/voc/csdco/v1/Car,,application/zip;type=corelyzerarchive,,Wrapper,
Coverage JSON,DATA,application/json;type=prs.coverage,application/prs.coverage+json,FALSE,application/json,,http://www.opengis.net/spec/ogcapi-edr-1/1.0,,resources that include coverage content encoded according to CoverageJSON,,,,
csv sparql result format,DATA,text/csv;type=sparql-results,text/csv;type=sparql-results,TRUE,text/csv,csv,ECRR,,,text/csv;type=sparql-results,,DATA,
csv USPLN format,DATA,text/csv;type=USPLN,text/csv;type=USPLN,TRUE,text/csv,csv,ECRR,,,text/csv;type=USPLN,,DATA,
csv w3c default format,DATA,text/csv;type=w3cdefault,text/csv;type=w3cdefault,TRUE,text/csv,csv,ECRR,,,text/csv;type=w3cdefault,,DATA,http://n2t.net/ark:/23942/g2705053
DMSP data format,DATA,application/octet-stream;type=DMSP,application/octet-stream;type=DMSP,TRUE,application/octet-stream,,ECRR,,"DMSP: Defense Meteorological Satellite Program, http://dmsp.ngdc.noaa.gov/",application/octet-stream;type=DMSP,,DATA,
Doppler rader data exchange format,DATA,application/octet-stream;type=DORADEv1,application/octet-stream;type=DORADEv1,TRUE,application/octet-stream,,ECRR,,"DORADE: DOppler RAdar Data Exchange Format, http://www.eol.ucar.edu/rsf/UserGuides/SABL/DoradeFormat/DoradeFormat.html    Lee, W., C. Walther, and R. Oye, 1994: Doppler RAdar Data Exchange Format DORADE, TN-403+IA, 22 p. https://www.eol.ucar.edu/system/files/files/field_project/EMEX/DoradeDoc.pdf",application/octet-stream;type=DORADEv1,,DATA,
ENVISAT,DATA,,,TRUE,,,ECRR,,,,,DATA,
ERDDAP Griddap format,DATA,,,TRUE,,,ECRR,EDDGrid,,,,DATA,
ERS1/2,DATA,,,TRUE,,,ECRR,,,,,DATA,
ESRI ArcInfo ASCII Grid,DATA,text/plain; type=esri-asciigrid,text/plain; type=esri-asciigrid,TRUE,text/plain,,ECRR,application/vnd.esri-asciigrid,not registered,text/plain; type=esri-asciigrid,,DATA,
ESRI File Geodatabase (zipped),DATA,application/zip;type=vnd.gdb,application/zip;type=ESRI-gdb,FALSE,application/zip,zip,DataOne,,,,application/vnd.gdb+zip,DATA,
ESRI Shapefile,DATA,multipart/related;type=shapefile,multipart/related;type=shapefile,TRUE,multipart/related,,ECRR,application/vnd.esri-shapefile,"not registered; This must be a package, includes shp,  dbf at minimum; since it is a composite package, the multipart/related Mime type seems most applicable. not registered",multipart/related;type=shapefile,,,
ESRI Shapefile (zipped),DATA,application/zip;type=vnd.shp,application/zip;type=shp,FALSE,application/zip,zip,DataOne,,,,application/vnd.shp+zip,DATA,
Extensible Markup Language,DATA,application/xml,text/xml,FALSE,application/xml,xml,DataOne,,,,text/xml,DATA,
Extensible Markup Language Application,DATA,application/xml,application/xml,TRUE,application/xml,xml,DataOne; IANA;http://www.opengis.net/spec/ogcapi-edr-1/1.0,,iana registered,application/xml,application/xml,DATA,
FASTA sequence file,DATA,text/plain;type=fasta,text/plain;type=fasta,TRUE,text/plain,fasta,"ECRR, DataOne",,,text/plain;type=fasta,application/x-fasta,DATA,
fastq,DATA,text/plain;type=fastq,text/plain;type=fastq,TRUE,text/plain,,ECRR,,,text/plain;type=fastq,,DATA,
FITS_array,DATA,,,TRUE,,,ECRR,,,,,DATA,
FITS_table,DATA,,,TRUE,,,ECRR,,,,,DATA,
Frictionless Data - CSV dialect descriptor format,MetaData,text/plain;type=frictionlessdata-data-csv-dialect-descriptor,frictionlessdata-data-csv-dialect-descriptor,FALSE,text/plain,,ECRR,,,frictionlessdata-data-csv-dialect-descriptor,,MetaData,
Frictionless Data - Data Package,Wrapper,application/zip;type=frictionless-datapackage,application/zip;type=frictionless-datapackage,TRUE,application/zip,zip,ECRR,,zip archive with data package descriptor and data files; analogous to bagit package,application/zip;type=frictionless-datapackage,,Wrapper,
Frictionless Data - Data Package Descriptor Format,DATA,application/json;type=frictionlessdata-data-package-descriptor,application/json;type=frictionlessdata-data-package-descriptor,TRUE,application/json,,ECRR,application/vnd.datapackage+json,"metadata for describing data package, links to data in the metadata, or data is inline in the metadata",application/json;type=frictionlessdata-data-package-descriptor,,,
GEMPAK gridded data format,DATA,application/octet-stream;type=GEMPAK-grid,application/octet-stream;type=GEMPAK-grid,TRUE,application/octet-stream,,ECRR,,"GempakGrid: GEMPAK Gridded Data, http://www.unidata.ucar.edu/software/gempak/",application/octet-stream;type=GEMPAK-grid,,DATA,
GEMPAK surface observation data format,DATA,application/octet-stream;type=GEMPAK-surfaceobs,application/octet-stream;type=GEMPAK-surfaceobs,TRUE,application/octet-stream,,ECRR,,"GempakSurface: GEMPAK Surface Obs Data, http://www.unidata.ucar.edu/software/gempak/",application/octet-stream;type=GEMPAK-surfaceobs,,DATA,
GeoChron system U-Pb XML Format,DATa,application/xml;type=https://github.com/EARTHTIME/Schema,application/xml;type=https://github.com/EARTHTIME/Schema,TRUE,application/xml,,ECRR,https://raw.githubusercontent.com/EARTHTIME/Schema,"schema are in github repo, namespace URI does not resolve to anything ",https://raw.githubusercontent.com/EARTHTIME/Schema,,,
GeoCSV GeoWS data,DATA,text/csv;type=GeoCSV-GeoWS,text/csv;type=GeoCSV-GeoWS,TRUE,text/csv,csv,ECRR,,,text/csv;type=GeoCSV-GeoWS,,DATA,
GeoCSV seismic data,DATA,text/csv;type=GeoCSV-seismic,text/csv;type=GeoCSV-seismic,TRUE,text/csv,csv,ECRR,,,text/csv;type=GeoCSV-seismic,,DATA,
GeoJSON,DATA,application/geo+json,application/geo+json,TRUE,application/geo+json,json,DataOne; ECRR; http://www.opengis.net/spec/ogcapi-edr-1/1.0,,OGC feature collections and features,application/geo+json,application/geo+json,DATA,
GeoPackage Encoding Standard (OGC) Format Family,DATA,application/geopackage+sqlite3,application/geopackage+sqlite3,TRUE,application/geopackage+sqlite3,gpkg,DataOne,,there should be types defined that specify the information content of the sqllite db,,application/geopackage+sqlite3,DATA,
GeoTIFF (zipped),Wrapper,application/zip;type=geotiff,image/geotiff+zip,FALSE,application/zip,zip,DataOne,,,,image/geotiff+zip,Wrapper,
GeoTIFF format,DATA,image/tiff;type=GeoTIFF,image/tiff;type=GeoTIFF,TRUE,image/tiff,tiff,"ECRR, DataOne",image/geotiff;  image/geo+tiff,not registered,image/tiff;type=GeoTIFF,image/geotiff,DATA,
GETASSE tile data format,DATA,application/octet-stream;type=GETASSE30,application/octet-stream;type=GETASSE30,TRUE,application/octet-stream,,ECRR,,GETASSE30 Tile,application/octet-stream;type=GETASSE30,,DATA,
GINIA data format,DATA,application/octet-stream;type=GINI,application/octet-stream;type=GINI,TRUE,application/octet-stream,,ECRR,,"GINI: GOES Ingest and NOAAPORT Interface, http://weather.unisys.com/wxp/Appendices/Formats/GINI.html",application/octet-stream;type=GINI,,DATA,
GML 3.2,DATA,application/gml+xml;version=3.2 ,application/gml+xml;version=3.2 ,TRUE,application/gml+xml,,http://www.opengis.net/spec/ogcapi-edr-1/1.0,,any Geography Markup Language (GML) 3.2 feature collections and features,,,,
GML 3.2 sf0,DATA,application/gml+xml;type=http://www.opengis.net/def/profile/ogc/2.0/gml-sf0 ,application/gml+xml;version=3.2;profile=http://www.opengis.net/def/profile/ogc/2.0/gml-sf0 ,FALSE,application/gml+xml,,http://www.opengis.net/spec/ogcapi-edr-1/1.0,,GML 3.2 feature collections and features conforming to the GML Simple Feature Level 0 profile,,,,
